DS_TRXN_TYPE,DS_RESN_TYPE
B2C Payment,Business Payment to Customer via API
B2C Payment,Promotion Payment via API
B2C Payment,MMI Transfer to Customer via API
B2C Payment,Salary Payment via API
B2C Payment,Transfer From Bank To Customer via API
B2C Payment,Business Payment To Customer
B2C Payment,Salary Payment
B2C Payment,Business Payment to Customer Withdrawal Charge Paid
B2C Payment,MEP Salary Payment
B2C Payment,HFund Savings to Customer via API
B2C Payment,GlobalPay reversal to customer via API
B2C Payment,Salary payment withdrawal charge paid
B2C Payment,MEP Salary payment withdrawal charge paid
B2C Payment,Promotion Payment
B2C Payment,MEP Promotion Payment
B2C Payment,Business Payment to Customer Withdrawal Charge Paid via API
B2C Payment,Digifarm Business Payment to Customer via API
B2C Payment,Salary Payment Withdrawal Charge Paid via API
B2C Payment,Salary Advance Payment
B2C Payment,Pay Dividend to Registered User
Cash In,Deposit at Agent Till
Cash In,Deposit at Agent Store via Web
Send Money,Customer Transfer
Send Money,Customer Transfer with OD via STK
Send Money,Customer Send to Micro SME Business
Send Money,Customer Transfer via USSD
Send Money,Customer Send to Micro SME Business with OD
Send Money,Customer Transfer with OD Online
Send Money,Customer Transfer with OD via USSD
Send Money,Micro SME Customer Payment to Customer via API
Send Money,Micro SME to Micro SME Payment via API
Send Money,Standing Order Customer Transfer
Send Money,Customer Transfer via WEB
Send Money,Refund from Child to Parent
Send Money,Send Money
Send Money,Customer Transfer
Send Money,Customer Transfer
Send Money,Customer Transfer with OD via STK
